team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Guatemala National Team,Guatemala,2026,Guatemala,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,146,0,8,-8,8,0,8,0,0,0,8,0,-8,0,0,0,23,0,23,0,0,0,0,0,0,2,0,2,0,0,0,9,0,9,1,0,1,40,0,40,11,0,11,6,0,6,5,0,5,12,0,12,0,0,0,3,0,3,-3,0,-3,0,0,0,1,0,1,1,0,1,0.5,0,0.5,4,0,4,0,0,0,4,0,4,1.5,0,1.5,0,0,0,1.5,0,1.5,2,1,1,1,1,1,0,0,0,0,0,0,2,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,100,50,50,50,50,50,0,0,0,0,0,0,100,50,50,50,50,50,0,50,50,50,50,50,0,0,0,0,0,0,0,50,50,50,50,50,1,1,1,0,0,0,1,1,1,50,50,50,0,0,0,50,50,50,0,0,0,50,0,0,0,0,0,0,100,0,100,0,0,0,1,0,1,50,0,50,2,0,2,100,0,100,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,4.50,0.00,4.50,0.5,0,0.50,100,100,100,100,100,100,50,50,0.00,0.00,0.67,1.76,0.00,2.76,50,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,0,0,100,0,100,50
Jamaica National Team,Jamaica,2026,Jamaica,2,0,2,0,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,16,3,0,3,3,0,3,0,3,0,0,0,3,60,0,60,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,12,0,12,0,0,0,54,0,54,22,0,22,11,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1.5,0,1.5,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,1,2,2,2,2,100,50,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,50,100,100,100,100,0,0,0,0,0,0,0,50,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,50,0,50,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,6.00,0.00,6.00,0,0,0.00,100,50,0,0,0,0,0,0,1.04,0.00,1.54,0.01,0.00,0.51,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada National Team,Grenada,2026,Grenada,4,2,2,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,139,0,13,-13,13,4,9,0,0,4,9,-4,-9,0,0,0,28,45,20,0,0,0,0,0,0,4,2,2,0,0,0,9,2,7,1,0,1,46,46,46,7,3,4,1,0,1,6,3,3,9,0,9,0,0,0,4,2,2,-4,-2,-2,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,3.25,2,4.5,0,0,0,3.25,2,4.5,1,1,1,0,0,0,1,1,1,4,3,3,2,1,0,2,1,1,0,0,0,2,2,2,2,1,0,0,1,1,2,3,4,0,1,1,2,2,2,0,0,0,0,1,2,100,75,75,50,25,0,100,50,50,0,0,0,100,100,100,100,50,0,0,25,25,50,75,100,0,50,50,100,100,100,0,0,0,0,50,100,2,2,0,1,1,0,1,1,0,50,50,0,50,50,0,50,50,0,0,0,0,19,0,0,0,0,0,0,100,100,100,0,0,0,2,1,1,50,50,50,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,2.25,1.00,3.50,1,0,1.00,75,50,50,50,25,25,25,0,0.47,0.51,0.44,2.48,1.98,2.99,100,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2,2,3,0,0,0,100,100,100,0
Belarus National Team,Belarus,2026,Belarus,2,0,2,0,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,32,3,1,2,4,0,4,0,3,0,1,0,2,60,0,60,180,0,180,1,0,1,1,0,1,0,0,0,2,0,2,9,0,9,10,0,10,42,0,42,21,0,21,7,0,7,14,0,14,31,0,31,2,0,2,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,3,0,3,2,0,2,1.5,0,1.5,0.5,0,0.5,1,0,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,1,1,2,2,2,100,50,50,0,0,0,0,0,0,0,0,0,100,50,50,0,0,0,0,50,50,100,100,100,0,0,0,0,0,0,0,50,50,100,100,100,2,0,0,0,0,0,2,0,0,100,0,0,0,0,0,100,0,0,100,0,100,0,50,0,50,50,0,50,0,0,0,100,0,100,2,0,2,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,4.50,0.00,4.50,5,0,5.00,100,100,100,50,50,50,50,50,0.78,0.00,1.28,0.98,0.00,1.48,50,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50
Moldova National Team,Moldova,2026,Moldova,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,142,2,5,-3,7,2,5,0,2,2,3,-2,-1,90,0,45,36,45,30,0,0,0,1,0,1,1,1,0,0,0,0,4,3,1,3,2,1,49,47,50,10,5,5,8,4,4,2,1,1,17,17,0,0,0,0,4,1,3,-4,-1,-3,0,0,0,0,0,0,2,1,1,0,0,0,3.5,2,5,1,0,2,2.5,2,3,2,1,3,0,0,0,2,1,3,2,2,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,2,0,0,1,1,1,1,0,0,0,0,0,1,100,100,50,50,50,0,100,100,0,0,0,0,100,100,100,100,100,0,0,0,50,50,50,100,0,0,100,100,100,100,0,0,0,0,0,100,2,1,1,1,0,0,1,1,1,100,50,50,100,0,0,100,100,100,0,0,0,-40,0,0,0,50,0,100,50,100,0,0,0,0,0,0,0,0,0,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,2.00,3.00,1.00,1.5,2,1.00,50,50,50,50,0,0,0,0,0.98,1.04,0.92,1.44,1.35,1.53,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,100,100,100,0
Cyprus National Team,Cyprus,2026,Cyprus,3,2,1,0,1,1,0,1,0,1,1,1,0,1.33,1.5,1,0,0,0,37,4,4,0,8,6,2,3,1,3,1,0,0,68,60,90,68,60,90,0,0,0,2,1,1,1,1,0,2,1,1,11,9,2,7,2,5,55,58,50,25,20,5,11,8,3,14,12,2,6,6,0,4,3,1,1,1,0,3,2,1,2,1,1,0,0,0,1,1,0,2,1.5,3,2.67,3,2,1.33,1.5,1,1.33,1.5,1,1.67,2,1,1.33,1.5,1,0.33,0.5,0,3,2,1,1,1,0,2,1,1,1,1,0,1,1,0,0,0,0,0,1,2,2,2,3,0,1,1,1,1,2,0,0,1,1,1,1,100,67,33,33,33,0,100,50,50,50,50,0,100,100,0,0,0,0,0,33,67,67,67,100,0,50,50,50,50,100,0,0,100,100,100,100,3,1,1,2,1,1,1,0,0,100,33,33,100,50,50,100,0,0,33,50,0,0,0,0,0,67,50,100,33,50,0,67,50,100,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,0,0,0,67,50,100,0,0,0,33,50,0,3.67,4.50,2.00,2.33,1,5.00,67,67,67,33,33,33,33,0,1.14,1.34,0.75,1.38,1.12,1.91,33,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,33,0,100,33,50,0,0
Spain National Team,Spain,2026,Spain,3,3,0,0,1,1,0,2,2,0,0,0,0,1.67,1.67,0,0,0,0,33,4,1,3,5,5,0,4,0,1,0,3,0,68,68,0,273,273,0,2,2,0,1,1,0,1,1,0,2,2,0,21,21,0,2,2,0,66,66,0,52,52,0,18,18,0,34,34,0,31,31,0,3,3,0,1,1,0,2,2,0,1,1,0,2,2,0,0,0,0,1.67,1.67,0,1.67,1.67,0,1.33,1.33,0,0.33,0.33,0,1.33,1.33,0,1,1,0,0.33,0.33,0,2,2,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,1,1,2,3,3,3,0,0,0,0,0,0,67,67,33,0,0,0,67,67,33,0,0,0,0,0,0,0,0,0,33,33,67,100,100,100,33,33,67,100,100,100,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,67,67,0,67,67,0,0,0,0,33,33,0,0,67,67,0,33,33,0,33,33,0,67,67,0,2,2,0,67,67,0,1,1,0,33,33,0,1,1,0,33,33,0,33,33,0,67,67,0,0,0,0,7.00,7.00,0.00,0.67,0.67,0.00,67,67,33,33,33,0,0,0,1.73,2.07,0.00,0.09,0.42,0.00,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,67,67,0,0,0,0,0
Uzbekistan National Team,Uzbekistan,2026,Uzbekistan,3,2,1,0,1,1,0,1,1,0,1,0,1,1.33,2,0,0,0,0,44,3,3,0,6,4,2,3,0,1,2,2,-2,90,60,0,90,180,45,1,1,0,1,1,0,2,1,1,0,0,0,26,23,3,2,0,2,51,53,48,28,22,6,13,11,2,15,11,4,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,2,2,2,1,1.5,0,1,0.5,2,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,2,2,3,3,1,1,1,1,2,2,0,0,1,1,1,1,67,67,33,33,0,0,50,50,50,50,0,0,100,100,0,0,0,0,33,33,67,67,100,100,50,50,50,50,100,100,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,50,0,50,33,50,0,33,50,0,67,50,100,0,0,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,8.67,11.50,3.00,1,0,2.00,100,100,100,67,33,33,33,33,1.33,1.63,0.73,1.18,1.17,1.22,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33,50,0,33,0,100,33
Egypt National Team,Egypt,2026,Egypt,3,1,2,0,2,1,1,1,0,1,0,0,0,2.33,3,2,0,0,0,14,5,0,5,5,1,4,1,4,0,0,1,4,54,90,45,0,0,0,3,1,2,0,0,0,1,0,1,2,1,1,6,5,1,6,1,5,44,54,39,28,11,17,13,4,9,15,7,8,34,13,21,3,0,3,0,0,0,3,0,3,1,0,1,2,1,1,0,0,0,1.67,1,2,1.67,1,2,1.67,1,2,0,0,0,1,0,1.5,1,0,1.5,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,2,2,2,3,3,0,1,1,1,1,1,1,1,1,1,2,2,67,33,33,33,0,0,100,0,0,0,0,0,50,50,50,50,0,0,33,67,67,67,100,100,0,100,100,100,100,100,50,50,50,50,100,100,1,1,1,0,0,0,1,1,1,33,33,33,0,0,0,50,50,50,67,100,50,0,100,100,100,0,0,0,33,0,50,67,100,50,3,1,2,100,100,100,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,67,100,50,0,0,0,2.00,5.00,0.50,2,1,2.50,67,67,67,67,67,0,0,0,1.22,1.24,1.22,1.57,0.76,1.98,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,33,0,50,0,0,0,0
Saudi Arabia National Team,Saudi Arabia,2026,Saudi Arabia,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,168,2,8,-6,10,4,6,0,2,4,4,-4,-2,134,0,90,34,23,45,0,0,0,2,0,2,1,1,0,1,0,1,7,4,3,5,2,3,53,61,50,22,7,15,3,0,3,19,7,12,31,12,19,1,0,1,4,3,1,-3,-3,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3.33,4,3,0.67,0,1,2.67,4,2,1.67,3,1,0.33,0,0.5,1.33,3,0.5,3,3,3,1,0,0,1,1,1,1,0,0,2,2,2,0,0,0,0,0,0,2,3,3,0,0,0,0,1,1,0,0,0,2,2,2,100,100,100,33,0,0,100,100,100,100,0,0,100,100,100,0,0,0,0,0,0,67,100,100,0,0,0,0,100,100,0,0,0,100,100,100,3,1,1,1,1,1,2,0,0,100,33,33,100,100,100,100,0,0,0,0,0,-75,0,0,0,67,0,100,33,100,0,33,0,50,1,0,1,33,0,50,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,0,0,0,67,100,50,2.33,4.00,1.50,1.67,2,1.50,33,33,33,33,33,0,0,0,0.91,1.25,0.75,2.02,2.03,2.01,100,1,0,0,0,0,0,0,0,1,1,1,0,1,1,2,2,0,0,0,0,0,100,100,100,0
Montenegro National Team,Montenegro,2026,Montenegro,3,2,1,0,2,1,1,0,0,0,1,1,0,2,1.5,3,0,0,0,31,5,3,2,8,7,1,4,1,3,0,1,1,54,45,90,90,60,0,2,1,1,1,1,0,0,0,0,3,2,1,22,20,2,3,3,0,63,50,90,29,22,7,15,11,4,14,11,3,10,10,0,3,3,0,1,1,0,2,2,0,2,2,0,1,0,1,0,0,0,2.33,3,1,2.67,3.5,1,1.67,2,1,1,1.5,0,1.33,2,0,1,1.5,0,0.33,0.5,0,3,2,1,1,1,0,2,2,1,1,1,0,1,0,0,0,0,0,0,1,2,2,2,3,0,0,1,1,1,2,0,1,1,1,1,1,100,67,33,33,33,0,100,100,50,50,50,0,100,0,0,0,0,0,0,33,67,67,67,100,0,0,50,50,50,100,0,100,100,100,100,100,2,1,1,2,1,1,0,0,0,67,33,33,100,50,50,0,0,0,67,50,100,-15,67,50,100,33,50,0,0,0,0,100,100,100,2,1,1,67,50,100,1,0,1,33,0,100,1,1,0,33,50,0,67,100,0,33,0,100,0,0,0,7.33,10.00,2.00,1,1.5,0.00,67,67,67,67,33,33,33,33,1.38,1.60,0.94,1.25,1.20,1.37,67,0,1,0,0,2,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,33,50,0,33
Serbia National Team,Serbia,2026,Serbia,3,1,2,0,1,1,0,0,0,0,2,0,2,1,3,0,0,0,0,73,2,7,-5,9,3,6,2,0,1,6,1,-6,134,45,0,39,90,30,0,0,0,1,1,0,2,0,2,0,0,0,16,10,6,3,0,3,44,59,37,34,23,11,13,10,3,21,13,8,33,11,22,0,0,0,4,1,3,-4,-1,-3,0,0,0,0,0,0,3,1,2,0,0,0,3,3,3,0.67,2,0,2.33,1,3,1.33,1,1.5,0,0,0,1.33,1,1.5,3,3,3,0,0,0,1,1,1,0,0,0,2,2,2,0,0,0,0,0,0,3,3,3,0,0,0,1,1,1,0,0,0,2,2,2,100,100,100,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,100,100,100,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,33,100,0,128,0,0,0,33,100,0,67,0,100,0,0,0,0,0,0,0,0,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,5.33,10.00,3.00,1,0,1.50,67,67,33,33,33,0,0,0,1.37,2.70,0.70,1.16,0.39,1.55,167,0,0,0,0,0,0,2,0,0,1,2,0,0,1,1,1,1,0,0,0,0,67,0,100,0
Austria National Team,Austria,2026,Austria,3,3,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,1,6,8,8,0,7,0,1,0,6,0,39,39,0,273,273,0,2,2,0,1,1,0,0,0,0,3,3,0,11,11,0,6,6,0,58,58,0,25,25,0,12,12,0,13,13,0,40,40,0,1,1,0,0,0,0,1,1,0,1,1,0,2,2,0,0,0,0,1.67,1.67,0,2.67,2.67,0,2.33,2.33,0,0.33,0.33,0,0.33,0.33,0,0.33,0.33,0,0,0,0,3,1,1,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,0,0,0,0,0,0,100,33,33,33,33,33,100,33,33,33,33,33,0,0,0,0,0,0,0,67,67,67,67,67,0,67,67,67,67,67,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,33,0,0,33,0,0,0,0,0,100,100,0,0,67,67,0,33,33,0,0,0,0,100,100,0,3,3,0,100,100,0,2,2,0,67,67,0,0,0,0,0,0,0,33,33,0,67,67,0,0,0,0,3.67,3.67,0.00,2,2,0.00,67,67,33,33,0,0,0,0,0.77,1.10,0.00,0.64,0.97,0.00,33,0,1,0,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Slovenia National Team,Slovenia,2026,Slovenia,3,1,2,0,1,0,1,1,1,0,1,0,1,1.33,1,1.5,0,0,0,62,4,4,0,8,2,6,1,3,1,3,0,0,68,90,60,68,90,60,0,0,0,2,1,1,1,0,1,0,0,0,18,11,7,5,0,5,49,50,49,28,14,14,12,6,6,16,8,8,30,0,30,1,0,1,3,1,2,-2,-1,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,2.67,2,3,1.33,1,1.5,1.33,1,1.5,1.33,1,1.5,0.33,0,0.5,1,1,1,3,2,1,1,1,0,1,1,0,0,0,0,2,1,1,1,1,0,0,1,2,2,2,3,0,0,1,1,1,1,0,1,1,1,1,2,100,67,33,33,33,0,100,100,0,0,0,0,100,50,50,50,50,0,0,33,67,67,67,100,0,0,100,100,100,100,0,50,50,50,50,100,2,1,1,1,0,0,1,1,1,67,33,33,100,0,0,50,50,50,33,0,50,0,0,0,0,67,100,50,33,0,50,0,0,0,1,0,1,33,0,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,6.00,11.00,3.50,1.67,0,2.50,100,100,100,100,67,67,67,33,1.30,1.91,1.00,1.37,0.75,1.68,133,0,0,0,0,2,1,1,0,0,1,1,0,0,1,0,0,1,0,33,100,0,33,0,50,33
Scotland National Team,Scotland,2026,Scotland,3,2,1,0,1,1,0,0,0,0,2,1,1,1,1.5,0,0,0,0,86,4,3,1,7,6,1,4,0,2,1,2,-1,68,45,0,90,90,90,0,0,0,1,1,0,2,1,1,0,0,0,18,11,7,2,2,0,53,56,47,40,26,14,18,14,4,22,12,10,33,24,9,1,1,0,2,1,1,-1,0,-1,0,0,0,2,2,0,1,0,1,0.67,1,0,2.33,3,1,1.33,2,0,1,1,1,1,1,1,0.33,0.5,0,0.67,0.5,1,3,1,1,1,1,0,2,1,1,1,1,0,1,0,0,0,0,0,0,2,2,2,2,3,0,1,1,1,1,2,0,1,1,1,1,1,100,33,33,33,33,0,100,50,50,50,50,0,100,0,0,0,0,0,0,67,67,67,67,100,0,50,50,50,50,100,0,100,100,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,50,50,0,100,0,0,33,50,0,0,0,0,0,33,50,0,67,50,100,0,0,0,1,1,0,33,50,0,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,67,100,0,33,0,100,6.00,5.50,7.00,0.67,1,0.00,100,100,100,100,67,33,0,0,1.18,1.68,0.00,0.94,1.44,0.00,67,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,67,50,100,0
Australia National Team,Australia,2026,Australia,3,2,1,0,2,2,0,0,0,0,1,0,1,2,3,0,0,0,0,21,6,2,4,8,7,1,6,0,1,1,5,-1,45,30,0,134,180,90,1,1,0,1,1,0,1,0,1,2,2,0,7,4,3,1,0,1,46,49,40,26,19,7,11,10,1,15,9,6,44,34,10,1,1,0,1,0,1,0,1,-1,1,1,0,1,1,0,1,0,1,1.33,2,0,2.67,3.5,1,2,3,0,0.67,0.5,1,0.67,0.5,1,0.33,0.5,0,0.33,0,1,3,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,0,1,1,1,1,1,0,1,1,1,1,1,100,33,33,33,33,33,100,50,50,50,50,50,100,0,0,0,0,0,0,67,67,67,67,67,0,50,50,50,50,50,0,100,100,100,100,100,2,0,0,1,0,0,1,0,0,67,0,0,50,0,0,100,0,0,67,100,0,38,33,50,0,33,50,0,33,0,100,67,100,0,2,2,0,67,100,0,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,33,50,0,33,0,100,2.33,2.00,3.00,0.33,0,1.00,67,33,0,0,0,0,0,0,0.99,1.13,0.70,0.99,0.85,1.28,133,0,0,1,0,0,0,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,33,0,100,0
China National Team,China,2026,China,2,1,1,0,1,1,0,0,0,0,1,0,1,1.5,3,0,0,0,0,83,2,2,0,4,2,2,2,0,0,2,2,-2,90,45,0,90,0,45,1,1,0,0,0,0,1,0,1,1,1,0,8,3,5,2,0,2,39,35,42,18,12,6,5,4,1,13,8,5,29,16,13,0,0,0,2,0,2,-2,0,-2,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,1,2,0,1,0,2,2,0,2,0,0,0,2,0,2,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,1,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,1,1,0,0,0,0,1,1,0,100,100,0,0,0,0,100,100,0,50,100,0,100,50,100,0,0,0,0,50,0,100,50,100,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,4.00,3.00,5.00,1,0,2.00,100,50,50,50,0,0,0,0,0.90,1.30,0.50,1.15,0.75,1.55,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,0,100,0
